english_sentence,isl_gloss
They noticed that some elements had similar properties and hence arranged them into groups.,ELEMENT GROUP NOTICE ELEMENTS SIMILAR PROPERTIES HENCE ARRANGE PAST
"During this period, several new elements were discovered.",ELEMENT PERIOD DISCOVER SEVERAL NEW ELEMENTS PAST
These elements were found to have different properties.,ELEMENT PROPERTY FIND ELEMENTS DIFFERENT PROPERTIES PAST
"It was realized that instead of studying the properties of all these elements individually, it would be more convenient to divide them into groups and periods in such a way that each group contained a certain number of elements (like an array of fruits and vegetables showing orderliness) with similar properties and periods showing a regular gradation.",GROUP GRADATION REALIZE INSTEAD STUDY PROPERTIES ELEMENTS INDIVIDUALLY MORE CONVENIENT DIVIDE PERIODS WAY CONTAIN CERTAIN NUMBER ARRAY FRUIT VEGETABLES SHOW ORDERLINESS SIMILAR REGULAR PAST
"So, scientists made several attempts to arrange elements in a logical way.",SCIENTIST WAY MAKE SCIENTISTS SEVERAL ATTEMPT ARRANGE ELEMENTS LOGICAL PAST
You have studied about all these early attempts of arrangement of elements in standard IX.,YOU IX STUDY EARLY ATTEMPT ARRANGEMENT ELEMENTS STANDARD PAST
"In continuation of the knowledge gained in the topic periodic classification of elements in standard IX with earlier concepts and their subsequent deliberations, you get set to go ahead with the higher order of thinking to enhance your knowledge on the properties of elements.",YOU ELEMENT SET CONTINUATION KNOWLEDGE GAIN TOPIC PERIODIC CLASSIFICATION ELEMENTS STANDARD IX EARLIER CONCEPTS SUBSEQUENT DELIBERATIONS GO AHEAD HIGHER ORDER THINK ENHANCE PROPERTIES PAST
"Learning Objectives After a thorough perusal of this unit, the students will be able to: recognize the basis of the modern periodic law and its development. list the features of groups and periods of the modern periodic table. explain the trend in periodic properties along the periods and groups. distinguish between ores and minerals . list out the types of separation of impurities from the ores. recall the various places of occurrences of minerals in the state of Tamil Nadu. put forth the properties of metals. identify the stages involved in metallurgical processes. think scientifically on alloys and their types. develop an idea on amalgam. understand the reason for corrosion and the methods of its prevention. 107 Periodic Classificaiton of Elements 8.1 MODERN PERIODIC LAW Mendeleev’s periodic table had some discrepancies, which were difficult to overcome.",WHICH DISCREPANCY HAVE LEARN OBJECTIVES THOROUGH PERUSAL UNIT STUDENTS ABLE RECOGNIZE BASIS MODERN PERIODIC LAW DEVELOPMENT LIST FEATURE GROUP PERIODS TABLE EXPLAIN TREND PROPERTIES DISTINGUISH ORES MINERALS TYPE SEPARATION IMPURITIES RECALL VARIOUS PLACE OCCURRENCES STATE TAMIL NADU PUT METAL IDENTIFY STAG INVOLVE METALLURGICAL PROCESS THINK SCIENTIFICALLY ALLOY DEVELOP IDEA AMALGAM UNDERSTAND REASON CORROSION METHODS PREVENTION CLASSIFICAITON ELEMENTS MENDELEEV DISCREPANCIES DIFFICULT OVERCOME PRESENT PAST
"For example, the atomic mass of argon (39.95 amu) is greater than that of potassium (39.10 amu), but argon comes before potassium in the periodic table.",EXAMPLE ATOMIC MASS ARGON AMU GREATER POTASSIUM COME PERIODIC TABLE PRESENT
"If elements were arranged solely according to increasing atomic mass, argon would appear in the position occupied by potassium in our modern periodic table (see in Figure 8.1).",ARGON FIGURE APPEAR ELEMENTS ARRANGE SOLELY ACCORD INCREASE ATOMIC MASS POSITION OCCUPY POTASSIUM MODERN PERIODIC TABLE SEE PAST
"No chemist would place argon, a gas with no tendency to react, in the same group as lithium and sodium,which are two highly reactive metals.",WHICH LITHIUM PLACE CHEMIST ARGON GAS TENDENCY REACT SAME GROUP SODIUM TWO HIGHLY REACTIVE METAL NOT
This kind of discrepancies suggested that some fundamental property other than atomic mass must be the basis of periodicity.,PROPERTY PERIODICITY SUGGEST KIND DISCREPANCIES FUNDAMENTAL OTHER ATOMIC MASS BASIS PAST
"The fundamental property turned out to be the number of protons in an atom’s nucleus, something that could not have been known by Mendeleev and his contemporaries.",THAT MENDELEEV TURN FUNDAMENTAL PROPERTY NUMBER PROTONS ATOM NUCLEUS KNOW CONTEMPORARIES PAST NOT
"Henry Moseley, a British scientist in 1912, discovered a new property of elements called atomic number, which provided a better basis for the periodic arrangement of the elements.",WHICH ELEMENT DISCOVER HENRY MOSELEY BRITISH SCIENTIST NEW PROPERTY ELEMENTS CALL ATOMIC NUMBER PROVIDE BETTER BASIS PERIODIC ARRANGEMENT PAST
It is a well-known fact that atomic number of an element is equal to the number of protons or the number of electrons present in the neutral atom of an element.,WELL KNOW FACT ATOMIC NUMBER ELEMENT EQUAL PROTONS ELECTRONS PRESENT NEUTRAL ATOM PAST
"The periodic law was, therefore, modified to frame a modern periodic law, which states that “The physical and chemical properties of the elements are the periodic functions of their atomic numbers”. 8.2 MODERN PERIODIC TABLE With reference to the modern periodic law, the elements were arranged in the increasing order of their atomic numbers to form the modern periodic table.",ELEMENT TABLE ARRANGE PERIODIC LAW THEREFORE MODIFY FRAME MODERN STATE PHYSICAL CHEMICAL PROPERTIES ELEMENTS FUNCTION ATOMIC NUMBER REFERENCE INCREASE ORDER FORM PAST PRESENT
"The modern periodic table is a tabular arrangement of elements in periods and groups, highlighting the regular repetition of properties of the elements.",MODERN PERIODIC TABLE TABULAR ARRANGEMENT ELEMENTS PERIODS GROUP HIGHLIGHT REGULAR REPETITION PROPERTIES
Figure 8.1 shows the modern periodic table of 118 elements discovered so far.,FIGURE ELEMENT SHOW MODERN PERIODIC TABLE ELEMENTS DISCOVER FAR PRESENT PAST
"As you have studied the features of the modern periodic table in standard IX, here let us confine to the study of the features of periods and groups. 8.2.1 Features of Periods The horizontal rows are called periods.",ROW PERIODS CALL STUDY FEATURE MODERN PERIODIC TABLE STANDARD IX HERE LET CONFINE GROUP HORIZONTAL PAST
There are seven periods in the periodic table.,SEVEN PERIODS PERIODIC TABLE PRESENT
First period (Atomic number 1 and 2): This is the shortest period.,FIRST PERIOD ATOMIC NUMBER SHORTEST
It contains only two elements (Hydrogen and Helium).,IT ELEMENT CONTAIN ONLY TWO ELEMENTS HYDROGEN HELIUM PRESENT
Second period (Atomic number 3 to 10): This is a short period.,SECOND PERIOD ATOMIC NUMBER SHORT
It contains eight elements (Lithium to Neon).,IT NEON CONTAIN EIGHT ELEMENTS LITHIUM PRESENT
Third period (Atomic number 11 to 18): This is also a short period.,THIRD PERIOD ATOMIC NUMBER ALSO SHORT
It contains eight elements (Sodium to Argon).,IT ARGON CONTAIN EIGHT ELEMENTS SODIUM PRESENT
Fourth period (Atomic number 19 to 36): This is a long period.,FOURTH PERIOD ATOMIC NUMBER LONG
It contains eighteen elements (Potassium to Krypton).,IT KRYPTON CONTAIN EIGHTEEN ELEMENTS POTASSIUM PRESENT
This includes 8 representative elements and 10 transition elements.,THIS ELEMENT INCLUDE REPRESENTATIVE ELEMENTS TRANSITION PRESENT
Fifth period (Atomic number 37 to 54): This is also a long period.,FIFTH PERIOD ATOMIC NUMBER ALSO LONG
It contains 18 elements (Rubidium to Xenon).,IT XENON CONTAIN ELEMENTS RUBIDIUM PRESENT
This includes 8 representative elements and 10 transition elements.,THIS ELEMENT INCLUDE REPRESENTATIVE ELEMENTS TRANSITION PRESENT
Sixth period (Atomic number 55 to 86): This is the longest period.,SIXTH PERIOD ATOMIC NUMBER LONGEST
It contains 32 elements (Caesium to Radon).,IT RADON CONTAIN ELEMENTS CAESIUM PRESENT
"This includes 8 representative elements, 10 transition elements and 14 inner transition elements (Lanthanides).",THIS ELEMENT INCLUDE REPRESENTATIVE ELEMENTS TRANSITION INNER LANTHANIDES PRESENT
"Seventh period (Atomic number 87 to 118): Like the sixth period, this period also accommodates 32 elements.",PERIOD ELEMENT ACCOMMODATE SEVENTH ATOMIC NUMBER SIXTH ALSO ELEMENTS PRESENT
Recently 4 elements have been included by IUPAC. 10th_Science_Unit-8.indd 107 12/2/2022 5:07:25 PM 108 10th Standard Science Figure 8.1 Modern Periodic Table *(CAS) Chemical Abstract Service | *(IUPAC) International union of Pure and Applied Chemistry 10th_Science_Unit-8.indd 108 12/2/2022 5:07:28 PM 109 Periodic Classificaiton of Elements 8.2.2 Features of Groups The vertical columns in the periodic table starting from top to bottom are called groups.,FIGURE BOTTOM CALL RECENTLY ELEMENTS INCLUDE IUPAC PM STANDARD SCIENCE MODERN PERIODIC TABLE CAS CHEMICAL ABSTRACT SERVICE INTERNATIONAL UNION PURE APPLY CHEMISTRY CLASSIFICAITON FEATURE GROUP VERTICAL COLUMNS START TOP PAST
There are 18 groups in the periodic table.,GROUP PERIODIC TABLE PRESENT
"Based on the common characteristics of elements in each group, they can be grouped as various families.",THEY FAMILY GROUP BASE COMMON CHARACTERISTICS ELEMENTS VARIOUS FAMILIES PAST
"Group Number Family 1 Alkali Metals 2 Alkaline earth metals 3 to 12 Transition metals 13 Boron Family 14 Carbon Family 15 Nitrogen Family 16 Oxygen Family (or) Chalcogen family 17 Halogens 18 Noble gases The Lanthanides and Actinides, which form part of Group 3 are called inner transition elements.",WHICH GROUP CALL NUMBER FAMILY ALKALI METAL ALKALINE EARTH TRANSITION BORON CARBON NITROGEN OXYGEN CHALCOGEN HALOGENS NOBLE GAS LANTHANIDES ACTINIDES FORM PART INNER ELEMENTS PRESENT PAST
"Except 'group 18', all the elements present in each group have the same number of electrons in their valence shell and thus have the same valency.",ELEMENT VALENCY HAVE GROUP ELEMENTS PRESENT SAME NUMBER ELECTRONS VALENCE SHELL THUS
"For example, all the elements of group 1 have one electron in their valence shells (1s1).",ELEMENT SHELL HAVE EXAMPLE ELEMENTS GROUP ONE ELECTRON VALENCE PRESENT
"So, the valency of all the alkali metals is ‘1’.",VALENCY ALKALI METAL
"As the elements present in a group have identical valence shell electronic configurations, they possess similar chemical properties.",THEY PROPERTY POSSESS ELEMENTS PRESENT GROUP IDENTICAL VALENCE SHELL ELECTRONIC CONFIGURATIONS SIMILAR CHEMICAL PROPERTIES
"The physical properties of the elements in a group such as melting point, boiling point and density vary gradually.",POINT VARY PHYSICAL PROPERTIES ELEMENTS GROUP SUCH MELT BOIL DENSITY GRADUALLY PRESENT
The atoms of the 'group 18' elements have stable electronic configuration in their valence shells and hence they are unreactive. 8.3 PERIODIC TRENDS IN PROPERTIES The electronic conﬁgurations of elements help us to explain the periodic recurrence of physical and chemical properties.,WE PROPERTY HELP ATOMS GROUP ELEMENTS STABLE ELECTRONIC CONFIGURATION VALENCE SHELL HENCE UNREACTIVE PERIODIC TREND PROPERTIES CONFIGURATIONS EXPLAIN RECURRENCE PHYSICAL CHEMICAL PRESENT
Anything which repeats itself after a regular interval is called periodic and this behaviour is called periodicity.,BEHAVIOUR INTERVAL CALL REPEAT REGULAR PERIODIC PERIODICITY PRESENT PAST
Some of the atomic properties of the elements are periodic.,ATOMIC PROPERTIES ELEMENTS PERIODIC
"Properties such as atomic radius, ionic radius, ionisation energy, electronegativity, electron affinity, show a regular periodicity and hence they are called periodic properties.",THEY PERIODICITY SHOW PROPERTIES SUCH ATOMIC RADIUS IONIC IONISATION ENERGY ELECTRONEGATIVITY ELECTRON AFFINITY REGULAR HENCE CALL PERIODIC PRESENT PAST
"The main significance of the modern periodic table is that it gives a clear understanding of the general properties and trends within a group or a period to predict with considerable accuracy, the properties of any element, even though that element may be unfamiliar to us.",MAIN SIGNIFICANCE MODERN PERIODIC TABLE GIVE CLEAR UNDERSTAND GENERAL PROPERTIES TREND GROUP PERIOD PREDICT CONSIDERABLE ACCURACY ELEMENT EVEN UNFAMILIAR PRESENT
Let us discuss the periodic trend of some of the properties. 8.3.1 Atomic Radius Atomic radius of an atom is defined as the distance between the centre of its nucleus and the outermost shell containing the valence electron.,RADIUS ELECTRON DEFINE LET DISCUSS PERIODIC TREND PROPERTIES ATOMIC ATOM DISTANCE CENTRE NUCLEUS OUTERMOST SHELL CONTAIN VALENCE PAST
Direct measurement of the radius of an isolated atom is not possible.,DIRECT MEASUREMENT RADIUS ISOLATE ATOM POSSIBLE NOT
"Except for noble gases, usually the atomic radius is referred to as covalent radius or metallic radius depending on the nature of the bonding between the concerned atoms.",RADIUS ATOM REFER NOBLE GAS USUALLY ATOMIC COVALENT METALLIC DEPEND NATURE BOND CONCERN ATOMS HABITUAL PAST
Atomic radius in metal atoms is known as metallic radius.,RADIUS KNOW ATOMIC METAL ATOMS METALLIC PAST
It is defined as half the distance between the nuclei of adjacent metal atoms (Figure 8.2 Figure 8.2 (a) Metallic Radius (b) Covalent Radius (a) (b) 10th_Science_Unit-8.indd 109 12/2/2022 5:07:28 PM 110 10th Standard Science (a)).,IT RADIUS DEFINE DISTANCE NUCLEI ADJACENT METAL ATOMS FIGURE METALLIC B COVALENT PM STANDARD SCIENCE PAST
"In non-metallic elements, their atomic radius is known as Covalent radius.",RADIUS KNOW NON METALLIC ELEMENTS ATOMIC COVALENT PAST
It is defined as half the distance between the adjacent nuclei of two covalently bonded atoms of the same element in a molecule (Figure 8.2 (b)).,IT MOLECULE DEFINE DISTANCE ADJACENT NUCLEI TWO COVALENTLY BOND ATOMS SAME ELEMENT FIGURE B PAST
"For example, let us consider H2 molecule.",WE MOLECULE LET EXAMPLE CONSIDER
The distance between the two hydrogen nuclei of the molecule is 0.74 Å.,DISTANCE TWO HYDROGEN NUCLEI MOLECULE
So its covalent radius is 0.74/2 = 0.37 Å.,COVALENT RADIUS
"When you look at the variation of the atomic radii in the periodic table, there are two distinct trends.",YOU TABLE BE LOOK VARIATION ATOMIC RADII PERIODIC TWO DISTINCT TREND PRESENT
"Along the period, from left to right, the atomic radius of the elements decreases whereas along the groups, from the top to bottom, the atomic radius increases.",PERIOD LEAVE RIGHT ATOMIC RADIUS ELEMENTS DECREASE WHEREAS GROUP TOP BOTTOM INCREASE PRESENT
"The increase, down a group, is due to the increase in the valence shell number down the group.",INCREASE GROUP DUE VALENCE SHELL NUMBER
"As the shell number increases, the distance between the valence shell and the nucleus increases.",SHELL NUMBER INCREASE DISTANCE VALENCE NUCLEUS PRESENT
"In contrast, when you observe along the period, the shell number remains the same but the number of protons (i.e. atomic number) increases.",NUMBER PROTON REMAIN CONTRAST OBSERVE PERIOD SHELL SAME PROTONS ATOMIC INCREASE PRESENT
"More and more positive charges impose a strong attraction over the electrons and thus the electron cloud shrinks towards the nucleus, which results in the decrease in the atomic size.",WHICH SIZE IMPOSE MORE POSITIVE CHARGE STRONG ATTRACTION ELECTRONS THUS ELECTRON CLOUD SHRINK NUCLEUS RESULT DECREASE ATOMIC PRESENT
Figure 8.4 shows how the atomic radius decreases from lithium to boron.,RADIUS BORON SHOW FIGURE ATOMIC DECREASE LITHIUM PRESENT
Figure 8.4 Variation of atomic radius 8.3.2 Ionic Radii It is defined as the distance from the centre of the nucleus of the ion upto the point where it exerts its influence on the electron cloud of Figure 8.3 Atomic radius H H Atomic radius of Hydrogen the ion.,IT HYDROGEN DEFINE FIGURE VARIATION ATOMIC RADIUS IONIC RADII DISTANCE CENTRE NUCLEUS ION UPTO POINT EXERT INFLUENCE ELECTRON CLOUD H PAST PRESENT
You know that ions are formed when an atom lose or gain electrons.,ATOM ELECTRON KNOW IONS FORM LOSE GAIN ELECTRONS PRESENT PAST
"When a neutral atom loses an electron, it becomes a positively charged ion called cation, whereas the gain of an electron by a neutral atom forms a negatively charged ion called anion.",IT FORM BECOME NEUTRAL ATOM LOSE ELECTRON POSITIVELY CHARGE ION CALL CATION GAIN NEGATIVELY ANION PRESENT PAST
The size of the ions is important to determine their behaviours in solutions and the structure of ionic solids.,SIZE IONS IMPORTANT DETERMINE BEHAVIOURS SOLUTIONS STRUCTURE IONIC SOLIDS
The size of a cation is always smaller than its corresponding neutral atom.,SIZE CATION ALWAYS SMALLER CORRESPOND NEUTRAL ATOM HABITUAL
"But, the anion is larger than its neutral atom.",ANION LARGER NEUTRAL ATOM
"Note: As the positive charge increases the size of the cation decreases As the negative charge increases the size of the anion increases For instance, lithium and sodium lose the single electron from their outermost energy level to form cations.",NOTE POSITIVE CHARGE INCREASE SIZE CATION DECREASE NEGATIVE ANION INSTANCE LITHIUM SODIUM LOSE SINGLE ELECTRON OUTERMOST ENERGY LEVEL FORM CATIONS PRESENT
The ions so formed are smaller because the remaining electrons are at a inner cells and attracted more strongly by the nucleus.,IONS FORM SMALLER REMAIN ELECTRONS INNER CELLS ATTRACT MORE STRONGLY NUCLEUS PAST
Fluorine and chlorine become negative ions by gaining an electron.,FLUORINE ELECTRON BECOME CHLORINE NEGATIVE IONS GAIN PRESENT
"When electrons are added, the charge on the nucleus is not great enough to hold the increased number of electrons as closely as it holds the electrons in the neutral atom.",ELECTRONS ADD CHARGE NUCLEUS GREAT ENOUGH HOLD INCREASE NUMBER AS CLOSELY NEUTRAL ATOM PAST PRESENT NOT
"So, as seen in atomic radius, ionic radii also decrease along the period from left to right and increase down the group. 8.3.3 Ionisation Energy Ionisation energy is the minimum energy required to remove an electron from Li 156 90 69 119 186 116 91 Radii in Picometers 167 Li+ F F– Na Na+ Cl Cl– Figure 8.5 Relative ionic radii of cation and anion 10th_Science_Unit-8.indd 110 12/2/2022 5:07:29 PM 111 Periodic Classificaiton of Elements an isolated gaseous atom in its ground state to form a cation.",ENERGY CATION DECREASE SEE ATOMIC RADIUS IONIC RADII ALSO PERIOD LEAVE RIGHT INCREASE GROUP IONISATION MINIMUM REQUIRE REMOVE ELECTRON LI PICOMETERS F NA CL FIGURE RELATIVE ANION PM PERIODIC CLASSIFICAITON ELEMENTS ISOLATE GASEOUS ATOM GRIND STATE FORM PAST PRESENT
It is otherwise called ionisation enthalpy.,OTHERWISE CALL IONISATION ENTHALPY PAST
It is measured in kJ/mol.,IT KJ MEASURE MOL PAST
"Higher the ionisation energy, it is more difficult to remove the electron.",HIGHER IONISATION ENERGY MORE DIFFICULT REMOVE ELECTRON
"As the atomic size decreases from left to right in a period, more energy is required to remove the electrons.",ENERGY ELECTRON REQUIRE ATOMIC SIZE DECREASE LEAVE RIGHT PERIOD MORE REMOVE ELECTRONS PRESENT PAST
"So, the ionisation energy increases along the period.",IONISATION ENERGY INCREASE PERIOD
"But, down the group, the atomic size increases and hence the valence electrons are loosely bound.",GROUP ATOMIC SIZE INCREASE HENCE VALENCE ELECTRONS LOOSELY BIND
They require relatively less energy for the removal.,THEY REMOVAL REQUIRE RELATIVELY LESS ENERGY PRESENT
"Thus, ionisation energy decreases down the group in the periodic table. 8.3.4 Electron Affinity Electron affinity is the amount of energy released when an isolated gaseous atom gains an electron to form its anion.",AFFINITY ANION DECREASE THUS IONISATION ENERGY GROUP PERIODIC TABLE ELECTRON AMOUNT RELEASE ISOLATE GASEOUS ATOM GAIN FORM PRESENT PAST
"It is also measured in kJ/mol and represented by the following equation: A(g) + e– → A– (g) + Energy Cl(g) + e– → Cl– (g) + energy Like ionisation energy, electron affinity also increases from left to right in a period and decreases from top to bottom in a group.",AFFINITY GROUP MEASURE ALSO KJ MOL REPRESENT FOLLOW EQUATION G ENERGY E CL IONISATION ELECTRON INCREASE LEAVE RIGHT PERIOD DECREASE TOP BOTTOM PAST PRESENT
More to Know Noble gases show no tendency to accept electrons because the outer s and p orbitals of noble gases are completely filled.,OUTER GAS SHOW MORE KNOW NOBLE TENDENCY ACCEPT ELECTRONS P ORBITALS COMPLETELY FILL PRESENT PAST NOT
No more electrons can be added to them and hence their electron affinities are zero. 8.3.5 Electronegativity Electronegativity of an element is the measure of the tendency of its atom to attract the shared pair of electrons towards itself in a covalent bond.,ELECTRONEGATIVITY BOND ADD MORE ELECTRONS HENCE ELECTRON AFFINITIES ZERO ELEMENT MEASURE TENDENCY ATOM ATTRACT SHARE PAIR COVALENT PAST NOT
Let us consider HCl molecule.,LET CONSIDER HCL MOLECULE
Both the hydrogen and chlorine atoms share one electron each to form the covalent bond between them. chlorine atom has a higher electronegativity and hence it pulls the shared electrons towards itself more strongly than hydrogen.,IT HYDROGEN HAVE CHLORINE ATOMS SHARE ONE ELECTRON FORM COVALENT BOND ATOM HIGHER ELECTRONEGATIVITY HENCE PULL ELECTRONS MORE STRONGLY PRESENT PAST
"Thus, when the bond breaks, the bonding electrons are left with chlorine forming H+ and Cl– ions.",ELECTRON CHLORINE LEAVE THUS BOND BREAK ELECTRONS FORM CL IONS PRESENT PAST
"It is represented, diagrammatically, as shown below: H Cl Elctron Transferred Cl H Weak Pull + – Strong Pull Figure 8.6 Relative electronegativity of H and Cl Electronegativity is based on various experimental data such as bond energy, ionization potential, electron affinity, etc.",TRANSFER ENERGY BASE REPRESENT DIAGRAMMATICALLY SHOW BELOW H CL ELCTRON WEAK PULL STRONG FIGURE RELATIVE ELECTRONEGATIVITY VARIOUS EXPERIMENTAL DATA SUCH BOND IONIZATION POTENTIAL ELECTRON AFFINITY PAST
"Pauling scale is the widely used scale to determine the electronegativity, which in turn predicts the nature of bonding (ionic or covalent) between the atoms in a molecule.",PAULING SCALE WIDELY USE DETERMINE ELECTRONEGATIVITY TURN PREDICT NATURE BOND IONIC COVALENT ATOMS MOLECULE PAST PRESENT
"Electronegativity of some of the elements are given below F = 4.0, Cl = 3.0, Br = 2.8, I = 2.5, H = 2.1, Na = 1 If the difference in electronegativity between two elements is 1.7, the bond has 50% ionic character and 50% covalent character.",BOND CHARACTER HAVE ELECTRONEGATIVITY ELEMENTS GIVE F CL BR H NA DIFFERENCE TWO IONIC COVALENT PAST PRESENT
"If the difference is less than 1.7, the bond is considered to be more covalent.",DIFFERENCE LESS BOND CONSIDER MORE COVALENT PAST
"If the difference is greater than 1.7, the bond is considered to be more ionic.",BOND 1-.-7 CONSIDER DIFFERENCE GREATER MORE IONIC PAST
"Along the period, from left to right in the periodic table, the electronegativity increases because of the increase in the nuclear charge which in turn attracts the electrons more strongly.",PERIOD LEAVE RIGHT PERIODIC TABLE ELECTRONEGATIVITY INCREASE NUCLEAR CHARGE TURN ATTRACT ELECTRONS MORE STRONGLY PRESENT
"On moving down a group, the electronegativity of the elements decreases because of the increased number of valence shells. 10th_Science_Unit-8.indd 111 12/2/2022 5:07:29 PM 112 10th Standard Science Periodic Property In Periods In Groups Atomic radius Decreases Increases Ionic radius Decreases Increases Ionisation energy Increases Decreases Electron affinity Increases Decreases Electronegativity Increases Decreases Test yourself Predict the nature of the bond in the following molecules. (i) NaCl (ii) NaBr (iii) NaI (iv) NaF (v) NaH 8.4 METALLURGY Human life is associated with various metals.",NAI METAL ASSOCIATE MOVE GROUP ELECTRONEGATIVITY ELEMENTS DECREASE INCREASE NUMBER VALENCE SHELL PM STANDARD SCIENCE PERIODIC PROPERTY PERIODS ATOMIC RADIUS IONIC IONISATION ENERGY ELECTRON AFFINITY TEST PREDICT NATURE BOND FOLLOW MOLECULES I NACL II NABR III IV NAF V NAH METALLURGY HUMAN LIFE VARIOUS PRESENT PAST
We use metals in our day to day activities.,WE ACTIVITY USE METAL DAY ACTIVITIES PRESENT
"It is the utmost need to have some metals like sodium, potassium, calcium, iron, etc. in the human body.",UTMOST NEED METAL SODIUM POTASSIUM CALCIUM IRON HUMAN BODY
Deficiency of these metals affects the metabolic activities thereby causing diseases.,DEFICIENCY DISEASE AFFECT METAL METABOLIC ACTIVITIES THEREBY CAUSE DISEASES PRESENT
"So, metals play a vital role in our life.",METAL LIFE PLAY VITAL ROLE PRESENT
"In this section, let us discuss how metals are obtained from various sources by the process of metallurgy.",METAL METALLURGY LET SECTION DISCUSS OBTAIN VARIOUS SOURCE PROCESS PAST
"Metallurgy is a science of extracting metals from their ores and modifying the metals into alloys for various uses, based on their physical and chemical properties and their structural arrangement of atoms.",METALLURGY SCIENCE EXTRACT METAL ORES MODIFY ALLOY VARIOUS USE BASE PHYSICAL CHEMICAL PROPERTIES STRUCTURAL ARRANGEMENT ATOMS PAST
A metallurgical process involve three main steps as follows: (i) Concentration or Separation of the ore: It is the process of removal of impuries from the ore. (ii) Production of the metal: It is the convertion of the ore into metal. (iii) Refining of the metal: It is the process of purification of the metal. 8.4.1 Terminology in metallurgy Minerals: A mineral may be a single compound or a complex mixture of various compounds of metals found in the Earth.,METALLURGICAL PROCESS INVOLVE THREE MAIN STEP FOLLOW I CONCENTRATION SEPARATION ORE REMOVAL IMPURIES II PRODUCTION METAL CONVERTION III REFINE PURIFICATION TERMINOLOGY METALLURGY MINERALS MINERAL SINGLE COMPOUND COMPLEX MIXTURE VARIOUS FIND EARTH PRESENT PAST
Ore: The mineral from which a metal can be readily and economically extracted on a large scale is said to be an ore.,ORE MINERAL METAL READILY ECONOMICALLY EXTRACT LARGE SCALE SAY PAST
Conceptual Thoughts All ores are minerals; But all minerals are not ores.,CONCEPTUAL THOUGHTS ORES MINERALS NOT
Why?,WHY
"For example: Clay (Al2O3. 2 SiO2. 2 H2O) and bauxite (Al2O3.2 H2O) are the two minerals of aluminium, but aluminium can be profitably extracted only from bauxite.",EXAMPLE CLAY BAUXITE TWO MINERALS ALUMINIUM PROFITABLY EXTRACT ONLY PAST
"Hence, bauxite is an ore of aluminium and clay is its mineral.",HENCE BAUXITE ORE ALUMINIUM CLAY MINERAL
Mining: The process of extracting the ores from the Earth's crust is called mining.,PROCESS CRUST CALL MINE EXTRACT ORES EARTH PAST
Gangue or Matrix: The rocky impurity associated with an ore is called gangue or matrix.,IMPURITY ORE CALL GANGUE MATRIX ROCKY ASSOCIATE PAST
Flux: It is the substance added to the ore to reduce the fusion temperature and to remove the impurities.,FLUX SUBSTANCE ADD ORE REDUCE FUSION TEMPERATURE REMOVE IMPURITIES PAST
"Calcium oxide (basic), Silica (acidic).",CALCIUM OXIDE BASIC SILICA ACIDIC
"If the gangue is acidic, then basic flux is added and vice versa.",GANGUE ACIDIC THEN BASIC FLUX ADD VICE VERSA PAST
Slag: It is the fusible product formed when a flux reacts with a gangue during the extraction of metals.,SLAG FUSIBLE PRODUCT FORM FLUX REACT GANGUE EXTRACTION METAL PAST PRESENT
Flux + Gangue → Slag Smelting: Smelting is the process of reducing the roasted metallic oxide from the metal in its molten condition.,FLUX GANGUE SLAG SMELT PROCESS REDUCE ROAST METALLIC OXIDE METAL MELT CONDITION
"In this process, impurities are removed as slag by the addition of flux. 8.4.2 Types of separation or concentration of an ore There are four major types of separation of ores based on the nature of the ore.",TYPE ORE BE PROCESS IMPURITIES REMOVE SLAG ADDITION FLUX SEPARATION CONCENTRATION FOUR MAJOR ORES BASE NATURE PAST PRESENT
The 10th_Science_Unit-8.indd 112 12/2/2022 5:07:29 PM 113 Periodic Classificaiton of Elements different kinds of ores of metals are given in Table 8.1 Concentration of the crushed ore is done mainly by the following methods: - (i) Hydraulic (Gravity Separation) method Principle: The difference in the densities or specific gravities of the ore and the gangue is the main principle behind this method.,GANGUE METHOD GIVE PM PERIODIC CLASSIFICAITON ELEMENTS DIFFERENT KINDS ORES METAL TABLE CONCENTRATION CRUSH ORE MAINLY FOLLOW METHODS I HYDRAULIC GRAVITY SEPARATION PRINCIPLE DIFFERENCE DENSITIES SPECIFIC GRAVITIES MAIN PAST
"Oxide ores are purified by this method. e.g., Haematite Fe2O3 the ore of iron.",ORE IRON PURIFY OXIDE ORES METHOD HAEMATITE PAST
"Note: When the ore is heavier than the impurity, this method can be used.",NOTE ORE HEAVIER IMPURITY METHOD USE PAST
"Method: The ore is poured over a sloping, vibrating corrugated table with grooves and a jet of water is allowed to flow over it.",JET IT POUR METHOD ORE SLOP VIBRATE CORRUGATE TABLE GROOVE WATER ALLOW FLOW PAST
The denser ore particles settle down in the grooves and lighter gangue particles are washed down by water. (ii) Magnetic separation method Principle: The magnetic properties of the ores form the basis of separation.,PROPERTY SEPARATION FORM DENSER ORE PARTICLES SETTLE GROOVE LIGHTER GANGUE WASH WATER II MAGNETIC METHOD PRINCIPLE PROPERTIES ORES BASIS PRESENT PAST
"When either the ore or the gangue is magnetic, this method is employed. e.g., Tinstone SnO2, the ore of tin.",METHOD TIN EMPLOY ORE GANGUE MAGNETIC TINSTONE PAST
